timestamp,askPrice,bidPrice
1547416809672,3575.5,3455.5
1547416814073,3575,3455
1547416815169,3575.2,3455.2
1547416819491,3575,3455
1547416820601,3575.2,3455.2
1547416821716,3575.5,3455.5
1547416824965,3574.9,3454.9
1547416826051,3575.5,3455.5
1547416831490,3574.9,3454.9
1547416832554,3575.2,3455.2
1547416833635,3575.4,3455.4
1547416834720,3575,3455
1547416836043,3574.9,3454.9
1547416839052,3575,3455
1547416839303,3574.9,3454.9
1547416840046,3574.8,3454.8
1547416840296,3575,3455
1547416841288,3574.2,3454.2
1547416842362,3574.8,3454.8
1547416843445,3574.7,3454.7
1547416843694,3574.6,3454.6
1547416844052,3574.5,3454.5
1547416850039,3574.6,3454.6
1547416850286,3574.3,3454.3
1547416851052,3574.2,3454.2
1547416851297,3574.3,3454.3
1547416853272,3574.1,3454.1
1547416854056,3574,3454
1547416855053,3574.1,3454.1
1547416856684,3574,3454
1547416857612,3574.1,3454.1
1547416858055,3574,3454
1547416859794,3574.2,3454.2
1547416860044,3574.1,3454.1
1547416861063,3574.2,3454.2
1547416862674,3574,3454
1547416871655,3573.9,3453.9
1547416880343,3573.8,3453.8
1547416890029,3573.9,3453.9
1547416893049,3574,3454
1547416893308,3573.9,3453.9
1547416894027,3573.8,3453.8
1547416894346,3573.9,3453.9
1547416895063,3574,3454
1547416895420,3573.8,3453.8
1547416897051,3573.9,3453.9
1547416898041,3573.8,3453.8
1547416899032,3573.9,3453.9
1547416900844,3574.1,3454.1
1547416906216,3574.1,3455.2
1547416910074,3574.2,3455.2
1547416910543,3574,3455.2
1547416914065,3573.9,3455.2
1547416918548,3573.8,3455.2
1547416918797,3573.9,3455.2
1547416919200,3573.8,3455.2
1547416919251,3573.8,3454.1
1547416920326,3573.9,3454.1
1547416920496,3573.9,3455
1547416920693,3573.8,3455
1547416921438,3574.1,3455
1547416921489,3574.1,3455.2
1547416923623,3573.6,3455.2
1547416924200,3573.6,3455.1
1547416924697,3573.9,3455.1
1547416930263,3574,3455.1
1547416932425,3573.9,3455.1
1547416934113,3573.8,3455
1547416934578,3573.9,3455
1547416935287,3573.8,3455.1
1547416935664,3573.7,3455.1
1547416937047,3573.6,3454.8
1547416937805,3574.3,3454.8
1547416937856,3574.3,3455.1
1547416938897,3573.6,3455.1
1547416938947,3573.6,3454.9
1547416939963,3573.7,3454.9
1547416941008,3573.8,3454.9
1547416941058,3573.8,3455.1
1547416942156,3573.8,3455
1547416942306,3573.7,3455
1547416958655,3573.8,3455
1547416961072,3573.7,3455
1547416961322,3573.8,3455
1547416961950,3573.5,3455
1547416962200,3573.4,3455
1547416962794,3573.5,3455
1547416963869,3573.7,3455
1547416968223,3573.5,3455
1547416970417,3573.7,3455
1547416971508,3573.2,3455
1547416972586,3574,3454.9
1547416972838,3574.1,3455
1547416973088,3574,3455
1547416973679,3573.5,3455
1547416974068,3573.6,3455
1547416976468,3573.7,3455
1547416976718,3573.6,3455
1547416977667,3573.7,3455
1547416978684,3573.6,3455
1547416978992,3573.7,3455
1547416980064,3573.8,3455
1547416980314,3574.2,3455
1547416981048,3574.3,3455
1547416981338,3574,3455
1547416983549,3574.1,3455
1547416986055,3574,3455
1547416986215,3574,3454.9
1547416990035,3574.3,3454.9
1547416990288,3574.4,3454.9
1547416991043,3574.3,3454.9
1547416993052,3574.4,3454.9
1547416994066,3574.3,3454.9
1547416996072,3574.4,3454.9
1547416998352,3574.4,3455
1547416998666,3574.5,3455
1547417001953,3574.6,3455
1547417003032,3574.7,3455
1547417003761,3574.5,3455
1547417004261,3573.9,3455
1547417005027,3574.1,3455
1547417005278,3574.5,3455
1547417006318,3573.9,3455
1547417007474,3574.4,3455
1547417010043,3574.3,3455
1547417010681,3574.4,3455
1547417011374,3574.5,3455
1547417011624,3574.4,3455
1547417012525,3574.5,3455
1547417020423,3574.3,3455
1547417021550,3574,3455
1547417022630,3573.9,3455
1547417030243,3574.3,3455
1547417030605,3574.3,3455.1
1547417038034,3574.4,3455.1
1547417044060,3574.3,3455.1
1547417046058,3574.4,3455.1
1547417048172,3574.5,3455.1
1547417055241,3574.3,3455.1
1547417055490,3574.2,3455.1
1547417055741,3574.3,3455.1
1547417055990,3574.2,3455.1
1547417056897,3574.1,3455.1
1547417057147,3574.2,3455.1
1547417057393,3573.7,3454.2
1547417057444,3573.1,3453.6
1547417059050,3573,3453.6
1547417059550,3572.9,3453.6
1547417059898,3572.8,3454.2
1547417060145,3572.5,3454.2
1547417060635,3572.1,3454.2
1547417060685,3572.1,3453.1
1547417061736,3572.1,3454.8
1547417061786,3573.1,3454.8
1547417062293,3573.3,3454.8
1547417062543,3573.1,3454.8
1547417062793,3572.9,3454.8
1547417062843,3572.9,3454.3
1547417063911,3572.7,3454.3
1547417064161,3572.6,3454.3
1547417065027,3572.5,3454.3
1547417067044,3572.2,3454.3
1547417070419,3571.6,3454.3
1547417070469,3571.6,3452.5
1547417071069,3571.5,3452.5
1547417071528,3571.5,3453.5
1547417071578,3572.1,3453.5
1547417072054,3572.2,3453.5
