,Open,High,Low,close
1612524600000,1.19748,1.19788,1.19723,1.1978
1612525500000,1.1978,1.19815,1.19775,1.19798
1612526400000,1.19798,1.19831,1.19772,1.19791
1612527300000,1.1979,1.19894,1.1979,1.19891
1612528200000,1.19894,1.1993,1.19856,1.19865
1612529100000,1.19865,1.19923,1.19856,1.19894
1612530000000,1.19894,1.19895,1.1981,1.19821
1612530900000,1.19822,1.19855,1.19817,1.1984
1612531800000,1.19843,1.20052,1.1984,1.20011
1612532700000,1.2001,1.20238,1.20009,1.20039
1612533600000,1.20038,1.20143,1.20006,1.2005
1612534500000,1.20048,1.20185,1.20023,1.2016
1612535400000,1.20159,1.20199,1.2012,1.20175
1612536300000,1.20173,1.20224,1.2016,1.20213
1612537200000,1.20212,1.20338,1.20178,1.20247
1612538100000,1.20246,1.20256,1.20197,1.20202
1612539000000,1.20201,1.20302,1.20192,1.20223
1612539900000,1.20222,1.20275,1.20182,1.20237
1612540800000,1.20239,1.20319,1.20239,1.20306
1612541700000,1.20307,1.2031,1.20247,1.20256
1612542600000,1.20256,1.20379,1.20247,1.20374
1612543500000,1.20373,1.20401,1.20337,1.20347
1612544400000,1.20346,1.20401,1.20334,1.20392
1612545300000,1.20392,1.20417,1.20376,1.20398
1612546200000,1.20399,1.20403,1.20334,1.2035
1612547100000,1.2035,1.20386,1.20344,1.20378
1612548000000,1.20377,1.2041,1.20371,1.20399
1612548900000,1.204,1.2044,1.20399,1.20421
1612549800000,1.20421,1.20461,1.2042,1.20456
1612550700000,1.20455,1.20475,1.20417,1.20424
1612551600000,1.20425,1.2044,1.20422,1.20425
1612552500000,1.20424,1.20425,1.20391,1.20415
1612553400000,1.20415,1.20422,1.20393,1.20411
1612554300000,1.20407,1.20438,1.20394,1.20426
1612555200000,1.20426,1.20441,1.20405,1.20433
1612556100000,1.20432,1.20459,1.20425,1.20458
1612557000000,1.20458,1.20467,1.20445,1.20456
1612557900000,1.20458,1.20496,1.2045,1.20489
1612558800000,1.20489,1.20498,1.20469,1.20471
1612559700000,1.20471,1.20484,1.20461,1.20463
1612560600000,1.20464,1.20481,1.20459,1.20479
1612561500000,1.20486,1.20498,1.20472,1.20481
1612562400000,1.20481,1.20481,1.20481,1.20481
1612563300000,1.20481,1.20481,1.20481,1.20481
1612564200000,1.20481,1.20481,1.20481,1.20481
1612565100000,1.20481,1.20481,1.20481,1.20481
1612566000000,1.20481,1.20481,1.20481,1.20481
1612566900000,1.20481,1.20481,1.20481,1.20481
1612567800000,1.20481,1.20481,1.20481,1.20481
1612568700000,1.20481,1.20481,1.20481,1.20481
1612742400000,1.20484,1.20525,1.20467,1.20479
1612743300000,1.2048,1.20493,1.20433,1.20433
1612744200000,1.20432,1.20439,1.20356,1.20382
1612745100000,1.20383,1.20389,1.20304,1.20322
1612746000000,1.20325,1.20363,1.20296,1.20312
1612746900000,1.20312,1.20349,1.2031,1.20316
1612747800000,1.20317,1.20352,1.203,1.20331
1612748700000,1.20332,1.20384,1.20327,1.20382
1612749600000,1.20382,1.20382,1.20312,1.20335
1612750500000,1.20335,1.2034,1.20318,1.20329
1612751400000,1.2033,1.20365,1.20328,1.20343
1612752300000,1.20343,1.20372,1.20328,1.20362
1612753200000,1.2036,1.2038,1.20349,1.2038
1612754100000,1.20382,1.2039,1.20368,1.20372
1612755000000,1.20372,1.20383,1.20367,1.20374
1612755900000,1.20373,1.20382,1.20358,1.20382
1612756800000,1.20382,1.20398,1.20371,1.20391
1612757700000,1.20392,1.20392,1.2037,1.20371
1612758600000,1.2037,1.20371,1.20354,1.20362
1612759500000,1.2036,1.20368,1.20342,1.20345
1612760400000,1.20346,1.2041,1.20346,1.20395
1612761300000,1.20394,1.20426,1.20394,1.2042
1612762200000,1.20422,1.20423,1.20386,1.20389
1612763100000,1.20391,1.20397,1.20365,1.20365
1612764000000,1.20366,1.20398,1.20365,1.20375
1612764900000,1.20375,1.20388,1.20342,1.20345
1612765800000,1.20344,1.20364,1.20332,1.20343
1612766700000,1.20343,1.20394,1.2034,1.2039
1612767600000,1.20389,1.20394,1.2032,1.20348
1612768500000,1.20347,1.2038,1.2032,1.20379
1612769400000,1.20379,1.20472,1.20353,1.20457
1612770300000,1.20457,1.20486,1.20393,1.20407
1612771200000,1.20406,1.20476,1.20393,1.20466
1612772100000,1.20468,1.20473,1.20289,1.20306
1612773000000,1.20307,1.20355,1.20291,1.20306
1612773900000,1.20306,1.20321,1.20252,1.20307
1612774800000,1.20308,1.20351,1.20291,1.20306
1612775700000,1.20305,1.20309,1.20247,1.20267
1612776600000,1.20266,1.20292,1.20239,1.20292
1612777500000,1.20292,1.20306,1.20271,1.2028
1612778400000,1.20279,1.20305,1.20231,1.20244
1612779300000,1.20246,1.20268,1.20235,1.20267
1612780200000,1.20266,1.20286,1.20231,1.20271
1612781100000,1.20272,1.20347,1.20272,1.20322
1612782000000,1.20322,1.20346,1.20291,1.20341
1612782900000,1.2034,1.20346,1.20303,1.20324
1612783800000,1.20324,1.20391,1.20307,1.20355
1612784700000,1.20355,1.20357,1.20295,1.20295
1612785600000,1.20297,1.20305,1.20268,1.20303
1612786500000,1.20303,1.20323,1.20229,1.2023
1612787400000,1.2023,1.20275,1.20196,1.20205
1612788300000,1.20204,1.20298,1.20203,1.20262
1612789200000,1.20265,1.20297,1.20222,1.20249
1612790100000,1.20248,1.20259,1.20213,1.20225
1612791000000,1.20224,1.20369,1.202,1.20365
1612791900000,1.20363,1.2044,1.20336,1.20376
1612792800000,1.20374,1.20457,1.20371,1.2044
1612793700000,1.20439,1.20462,1.20419,1.20457
