timestamp,open,high,low,close
1612137600000,1.21225,1.21363,1.2056,1.20676
1612224000000,1.20676,1.20877,1.20115,1.20365
1612310400000,1.20365,1.205,1.2004,1.20412
1612396800000,1.20413,1.20427,1.19574,1.19662
1612483200000,1.19659,1.20498,1.19522,1.20481
1612569600000,1.20481,1.20481,1.20481,1.20481
1612656000000,1.20375,1.2055,1.20356,1.20483
1612742400000,1.20484,1.2066,1.20196,1.20522
1612828800000,1.20522,1.21218,1.20491,1.21161
1612915200000,1.21162,1.2144,1.21088,1.2119
1613001600000,1.21189,1.21494,1.21134,1.21304
1613088000000,1.21306,1.21332,1.20815,1.21177
1613174400000,1.21177,1.21177,1.21177,1.21177
1613260800000,1.21244,1.21251,1.21191,1.21204
1613347200000,1.21206,1.21451,1.21167,1.2132
1613433600000,1.21319,1.21693,1.20859,1.2088
1613520000000,1.20879,1.20982,1.20232,1.20455
1613606400000,1.20454,1.20958,1.20355,1.20917
1613692800000,1.20917,1.21444,1.20823,1.21167
1613779200000,1.21167,1.21167,1.21167,1.21167
1613865600000,1.21151,1.21292,1.21141,1.21247
1613952000000,1.21246,1.21693,1.20911,1.21638
1614038400000,1.21637,1.21801,1.21353,1.21506
1614124800000,1.21506,1.21745,1.21092,1.21693
1614211200000,1.21696,1.22433,1.21559,1.21577
1614297600000,1.21579,1.21826,1.20621,1.20704
1614384000000,1.20704,1.20704,1.20704,1.20704
1614470400000,1.20702,1.20919,1.20699,1.20903
