,Open,High,Low,Close,Volume
1612315800000,1.20469,1.20469,1.20429,1.20439,1609.38
1612316700000,1.20438,1.20479,1.20431,1.20468,638.51
1612317600000,1.20469,1.20476,1.20451,1.20468,912.32
1612318500000,1.20467,1.20472,1.20447,1.20472,753.68
1612319400000,1.20472,1.20479,1.20461,1.20468,509.11
1612320300000,1.2047,1.20479,1.20445,1.20463,553.24
1612321200000,1.20465,1.20465,1.20436,1.20443,520.13
1612322100000,1.20444,1.20479,1.20444,1.20458,602.51
1612323000000,1.20457,1.20457,1.20425,1.20433,515.97
1612323900000,1.20434,1.20448,1.20416,1.20417,787.74
1612324800000,1.20419,1.20436,1.20407,1.20428,469.77
1612325700000,1.20429,1.2043,1.20403,1.20423,652.49
1612326600000,1.20422,1.20423,1.20392,1.20407,745.39
1612327500000,1.20408,1.20434,1.20408,1.20432,493.35
1612328400000,1.20434,1.20454,1.20433,1.20453,508.66
1612329300000,1.20452,1.20456,1.20436,1.20444,655.3
1612330200000,1.20445,1.20446,1.20421,1.20429,577.63
1612331100000,1.20429,1.2044,1.20414,1.20439,485.33
1612332000000,1.20439,1.20441,1.20373,1.20382,888.2
1612332900000,1.20385,1.20406,1.2038,1.20404,551.64
1612333800000,1.20406,1.20414,1.20363,1.20364,433.24
1612334700000,1.20364,1.20377,1.20347,1.20377,753.47
1612335600000,1.20374,1.20404,1.20304,1.20371,1827.84
1612336500000,1.20373,1.20386,1.20326,1.20339,1451.77
1612337400000,1.20341,1.20351,1.20291,1.20315,1733.37
1612338300000,1.20316,1.20376,1.20276,1.20374,2050.42
1612339200000,1.20374,1.20423,1.2033,1.20396,3379.85
1612340100000,1.20397,1.20407,1.20313,1.20388,2293.83
1612341000000,1.20387,1.20407,1.2036,1.20374,2161.57
1612341900000,1.20376,1.20397,1.20309,1.20312,1574.89
1612342800000,1.20314,1.20315,1.20095,1.20176,3553.62
1612343700000,1.20174,1.20246,1.20159,1.20222,1505.69
1612344600000,1.20222,1.20316,1.20221,1.20272,2018.97
1612345500000,1.20271,1.20297,1.20204,1.20227,3067.61
1612346400000,1.20231,1.20303,1.20169,1.20185,2644.39
1612347300000,1.20186,1.20203,1.2012,1.20173,1773.86
1612348200000,1.20173,1.2021,1.20143,1.20204,1309.59
1612349100000,1.20202,1.2022,1.20171,1.2021,1509.26
1612350000000,1.20209,1.20239,1.20176,1.20232,1158.11
1612350900000,1.20231,1.20242,1.20214,1.2023,662.18
1612351800000,1.20232,1.20239,1.20212,1.20222,574.3
1612352700000,1.20221,1.20221,1.20161,1.20162,849.64
1612353600000,1.20161,1.20178,1.20081,1.20137,1631.34
1612354500000,1.2014,1.20164,1.20049,1.20159,2500.99
1612355400000,1.20159,1.20229,1.20142,1.20183,1423.91
1612356300000,1.2018,1.20208,1.20094,1.20105,1635.61
1612357200000,1.20106,1.20171,1.20082,1.2017,1898.81
1612358100000,1.20168,1.20203,1.20109,1.20138,2683.95
1612359000000,1.20137,1.20191,1.20092,1.20144,2072.52
1612359900000,1.20143,1.20233,1.20137,1.2017,1883.53
1612360800000,1.20167,1.20292,1.20155,1.20229,2595.84
1612361700000,1.20227,1.20267,1.20218,1.20244,1678.68
1612362600000,1.20245,1.20325,1.20241,1.20269,3383.2
1612363500000,1.20268,1.20291,1.20246,1.20265,2341.09
1612364400000,1.20265,1.20298,1.20202,1.20217,2599.2
1612365300000,1.20218,1.20252,1.20111,1.20115,2574.69
1612366200000,1.20115,1.20141,1.20082,1.20101,1925.96
1612367100000,1.20101,1.20156,1.2004,1.20105,2893.24
1612368000000,1.20106,1.20213,1.20106,1.20202,2152.32
1612368900000,1.20201,1.20244,1.20182,1.20227,1653.18
1612369800000,1.20228,1.20265,1.20197,1.2023,1464.23
1612370700000,1.20232,1.20257,1.2022,1.20236,1384.11
1612371600000,1.20238,1.20276,1.20231,1.20247,1298.61
1612372500000,1.20248,1.20264,1.20236,1.20255,636.52
1612373400000,1.20255,1.20291,1.20227,1.20289,1161.03
1612374300000,1.2029,1.20307,1.20266,1.20266,1632.17
1612375200000,1.20268,1.20281,1.20235,1.20235,992.4
1612376100000,1.20236,1.20246,1.20211,1.2023,907.57
1612377000000,1.2023,1.20258,1.20222,1.20251,785.5
1612377900000,1.20251,1.20272,1.20239,1.20272,779.4
1612378800000,1.20273,1.20288,1.20262,1.20264,862.78
1612379700000,1.20264,1.2028,1.20258,1.20262,438.86
1612380600000,1.20264,1.20285,1.20263,1.20273,622.74
1612381500000,1.20273,1.20281,1.20254,1.20254,804.73
1612382400000,1.20256,1.20274,1.2024,1.20253,726.04
1612383300000,1.20253,1.20281,1.20251,1.20271,547.24
1612384200000,1.20271,1.20358,1.20271,1.20337,1221.47
1612385100000,1.20336,1.20362,1.20311,1.20331,1358.82
1612386000000,1.20332,1.20362,1.20321,1.20351,813.29
1612386900000,1.20352,1.20367,1.20348,1.20351,330.31
1612387800000,1.20351,1.20367,1.20345,1.20356,290.47
1612388700000,1.20356,1.20373,1.20347,1.20351,249.32
1612389600000,1.20349,1.2036,1.2032,1.20351,81.715
1612390500000,1.20354,1.20355,1.20307,1.20307,54.47
1612391400000,1.20305,1.20349,1.20301,1.20333,175.77
1612392300000,1.2034,1.20349,1.20328,1.20328,60.38
1612393200000,1.20331,1.20418,1.20331,1.20383,846.35
1612394100000,1.20385,1.20409,1.20373,1.20391,531.75
1612395000000,1.20392,1.20404,1.20378,1.20397,498.83
1612395900000,1.20396,1.20414,1.2038,1.20412,470.35
1612396800000,1.20413,1.20424,1.20377,1.20423,1012.99
1612397700000,1.20421,1.20427,1.204,1.20405,664.35
1612398600000,1.20406,1.20408,1.20376,1.20394,736.29
1612399500000,1.20394,1.20404,1.20349,1.20359,1245.24
1612400400000,1.20359,1.20386,1.20355,1.20363,782.2
1612401300000,1.20363,1.20388,1.20349,1.20363,1041.65
1612402200000,1.20364,1.20383,1.20338,1.20343,1220.15
1612403100000,1.20345,1.20375,1.20333,1.20348,1260.34
1612404000000,1.20349,1.20383,1.20342,1.20379,692.65
1612404900000,1.20381,1.20381,1.20337,1.20354,408.91
1612405800000,1.20353,1.20354,1.20327,1.20333,543.03
1612406700000,1.20333,1.20348,1.20312,1.20322,825.79
1612407600000,1.20323,1.20333,1.20284,1.2029,852.14
1612408500000,1.20292,1.20294,1.20213,1.20235,1347.64
1612409400000,1.20233,1.20241,1.20183,1.20184,1321.79
1612410300000,1.20184,1.20218,1.20165,1.20184,1265.02
1612411200000,1.20183,1.20205,1.20173,1.20197,807.62
1612412100000,1.20197,1.20203,1.20183,1.20198,696.17
1612413000000,1.20199,1.20207,1.20179,1.20183,526.79
1612413900000,1.20182,1.20201,1.20157,1.20197,577.01
1612414800000,1.20196,1.20196,1.20131,1.20148,1421.82
1612415700000,1.20147,1.20169,1.20132,1.20144,1103.81
1612416600000,1.20143,1.20169,1.20125,1.20152,864.81
1612417500000,1.20151,1.20173,1.20138,1.20169,809.71
1612418400000,1.20169,1.20169,1.20115,1.20116,729.06
1612419300000,1.20116,1.20129,1.2007,1.20106,1147.6
1612420200000,1.20106,1.20146,1.20104,1.20143,756.94
1612421100000,1.20143,1.20144,1.20099,1.20113,1195.16
1612422000000,1.20113,1.20132,1.20019,1.20028,2683.63
1612422900000,1.20027,1.20102,1.20027,1.20063,1716.86
1612423800000,1.20063,1.20098,1.19996,1.20078,2094.52
1612424700000,1.20078,1.20091,1.20023,1.20081,1861.76
1612425600000,1.2008,1.20136,1.19923,1.20081,4510.11
1612426500000,1.20081,1.20104,1.19936,1.19966,3332.4
1612427400000,1.19964,1.20056,1.19962,1.19975,2158.62
1612428300000,1.19975,1.19989,1.19911,1.19931,1829.44
1612429200000,1.19931,1.19931,1.19848,1.19888,2732.63
1612430100000,1.19888,1.19913,1.1983,1.19904,1865.27
1612431000000,1.19903,1.19931,1.19849,1.19918,1815.53
1612431900000,1.19918,1.19959,1.19856,1.19857,2528.5
1612432800000,1.19856,1.19907,1.19835,1.19874,1711.51
1612433700000,1.19874,1.19934,1.19864,1.19934,1719.07
1612434600000,1.19933,1.19969,1.19907,1.19919,1262.08
1612435500000,1.19921,1.19949,1.19856,1.19876,1536.1
1612436400000,1.19876,1.19895,1.19836,1.19882,1488.02
1612437300000,1.19882,1.19938,1.19862,1.19924,974.86
1612438200000,1.19923,1.1996,1.19897,1.19903,1004.16
1612439100000,1.19902,1.1995,1.19871,1.19875,1625.77
1612440000000,1.19876,1.19942,1.19863,1.19896,4359.39
1612440900000,1.19897,1.1992,1.19828,1.19861,2367.33
1612441800000,1.19862,1.19898,1.19846,1.19895,1551.76
1612442700000,1.19894,1.1994,1.19877,1.19928,1687.27
1612443600000,1.19929,1.19979,1.19928,1.19954,2774.64
1612444500000,1.19955,1.19973,1.19918,1.19934,2059.18
1612445400000,1.19938,1.19956,1.19855,1.1986,1866.18
1612446300000,1.19858,1.19888,1.19834,1.19838,1459.97
1612447200000,1.19839,1.19875,1.19828,1.19831,1388.54
1612448100000,1.1983,1.19892,1.19811,1.19866,1781.58
1612449000000,1.19868,1.1988,1.19765,1.19777,2746.78
1612449900000,1.19776,1.19822,1.19759,1.19808,1794.37
1612450800000,1.19808,1.19843,1.19761,1.19769,1909.76
1612451700000,1.1977,1.19774,1.19685,1.19695,2013.12
1612452600000,1.19695,1.1974,1.19666,1.19707,1695.67
1612453500000,1.19708,1.19795,1.19665,1.19786,2021.2
1612454400000,1.19785,1.19796,1.19725,1.19736,1617.07
1612455300000,1.19736,1.19779,1.19729,1.19756,934.65
1612456200000,1.19755,1.19765,1.19724,1.19727,1098.44
1612457100000,1.19726,1.19746,1.19719,1.19742,797.61
1612458000000,1.19742,1.19742,1.19675,1.1969,998.5
1612458900000,1.19691,1.19696,1.19599,1.19607,1315.07
1612459800000,1.19606,1.1965,1.19574,1.19643,1054.21
